userId,movieId,rating
337,17,3.0
162,9,5.0
301,74,5.0
365,421,4.0
40,154,3.0
124,291,5.0
200,347,5.0
170,197,5.0
72,405,5.0
371,41,4.5
178,28,3.0
119,430,2.5
310,394,4.5
305,204,5.0
168,16,4.5
231,252,3.5
284,482,4.0
96,349,4.5
195,44,5.0
152,409,3.5
38,43,3.5
195,365,5.0
79,379,4.0
185,55,2.5
158,228,4.0
139,53,3.0
96,221,4.0
285,263,4.0
14,46,4.0
48,306,4.5
167,443,4.0
150,212,4.0
44,372,5.0
125,293,4.5
351,195,3.0
138,155,3.5
75,33,3.0
142,216,4.0
40,185,3.5
127,370,4.5
305,316,3.5
55,70,4.0
203,171,5.0
195,412,5.0
226,172,4.0
334,499,4.5
154,165,4.5
356,103,4.0
91,494,4.0
164,150,5.0
325,252,5.0
125,167,4.0
202,187,3.0
289,103,4.5
280,93,5.0
282,14,5.0
237,483,5.0
225,409,4.0
355,36,5.0
210,345,4.5
325,156,3.5
338,79,5.0
194,38,4.0
307,246,4.5
274,260,5.0
355,215,4.5
185,360,5.0
275,305,4.5
44,56,5.0
337,341,4.0
332,314,2.0
331,347,4.5
386,170,5.0
221,55,1.0
133,114,4.5
266,286,4.5
295,114,4.0
201,238,5.0
302,354,4.5
177,13,4.0
152,213,5.0
44,60,5.0
374,73,4.0
176,234,5.0
267,248,4.0
50,225,5.0
232,164,2.5
23,415,5.0
12,435,4.0
56,347,5.0
380,125,4.5
283,82,4.0
219,491,4.0
208,323,3.0
328,337,4.0
15,378,4.5
102,231,4.5
200,3,5.0
106,143,5.0
33,296,3.0
275,96,4.0
101,235,3.0
344,442,4.5
328,161,4.5
313,201,4.5
179,181,5.0
317,89,5.0
362,410,4.0
315,303,2.5
69,161,3.0
157,60,3.0
356,73,4.5
215,306,3.0
197,217,3.0
326,276,5.0
331,477,5.0
285,86,4.5
72,96,4.0
231,318,2.0
184,488,1.0
70,100,5.0
288,259,4.5
210,351,4.5
364,431,4.0
86,43,4.5
390,113,4.0
141,116,4.5
87,400,4.0
381,396,5.0
282,262,3.0
59,138,5.0
188,278,5.0
22,390,5.0
280,112,5.0
53,377,5.0
385,127,4.0
17,231,3.5
45,225,5.0
61,398,5.0
108,416,5.0
353,180,5.0
313,324,4.0
316,72,5.0
106,413,2.0
180,273,3.5
276,87,4.0
361,150,3.5
137,488,5.0
348,418,2.5
385,403,4.0
31,142,5.0
65,360,5.0
128,75,5.0
127,390,5.0
202,251,3.0
324,138,4.5
193,232,2.5
394,48,4.0
384,143,5.0
189,233,5.0
168,298,1.0
397,434,5.0
375,498,4.0
341,358,4.0
33,408,4.5
112,496,4.0
109,254,3.5
146,173,4.5
67,290,5.0
176,458,5.0
25,24,3.0
236,9,3.0
81,226,4.0
220,104,5.0
68,452,4.5
82,448,5.0
141,48,4.5
129,43,4.0
333,85,2.0
321,157,5.0
387,120,4.0
47,361,2.5
110,245,2.5
304,116,4.5
228,5,1.0
176,419,3.0
217,356,3.0
37,118,4.0
375,413,3.0
161,189,5.0
71,196,5.0
386,448,3.0
347,74,2.5
289,5,4.5
85,226,4.0
110,322,5.0
211,316,5.0
112,45,5.0
72,386,3.0
374,197,4.0
220,162,5.0
127,142,4.5
128,284,4.5
370,312,3.5
354,14,5.0
338,449,4.0
266,311,4.5
383,201,4.0
28,402,5.0
123,254,4.0
124,256,4.5
37,271,5.0
7,185,5.0
68,199,5.0
292,216,4.0
350,89,5.0
395,38,1.5
35,8,3.5
21,473,2.0
204,260,3.5
365,257,5.0
217,360,4.0
328,275,4.5
79,143,2.5
41,262,5.0
80,275,4.0
301,325,5.0
333,349,4.5
159,358,4.0
123,30,3.5
223,60,4.0
312,29,4.0
380,337,5.0
62,7,5.0
360,6,3.0
178,268,4.5
370,133,3.0
65,384,5.0
138,376,5.0
395,461,1.5
220,140,4.5
135,365,5.0
322,40,4.5
262,185,2.0
291,86,4.0
131,396,3.0
294,346,5.0
117,380,4.5
23,440,5.0
126,24,4.0
197,472,3.0
19,284,5.0
366,380,4.5
115,165,3.5
369,164,3.5
40,293,4.0
258,345,5.0
92,115,5.0
24,489,4.0
239,444,3.5
160,168,2.5
234,5,4.0
150,289,5.0
379,319,3.5
189,303,5.0
396,398,3.5
280,390,5.0
78,4,5.0
13,120,4.5
326,430,5.0
5,487,4.0
389,337,4.0
378,373,4.0
106,272,5.0
215,252,5.0
73,365,3.5
23,472,3.5
267,212,5.0
191,235,5.0
44,298,2.5
69,327,5.0
39,304,4.5
223,340,5.0
122,150,3.5
162,475,5.0
359,426,5.0
163,232,3.5
39,484,3.5
400,395,4.5
80,55,3.0
239,161,4.0
275,184,5.0
107,232,4.0
136,437,3.0
81,414,5.0
361,357,4.5
111,428,5.0
76,47,5.0
183,203,4.5
347,154,3.5
90,16,5.0
232,285,5.0
128,49,4.0
72,63,1.0
400,114,3.0
206,191,5.0
331,44,4.5
133,470,5.0
12,34,3.5
331,228,5.0
48,464,5.0
170,63,2.0
237,26,3.0
294,222,5.0
203,255,1.5
350,219,3.0
110,466,3.0
144,229,5.0
18,315,4.5
126,332,4.0
211,452,4.5
32,45,3.5
71,215,3.5
270,128,4.5
279,407,1.5
196,401,5.0
246,279,5.0
177,468,4.5
165,199,3.5
14,164,4.5
16,459,5.0
144,30,5.0
242,272,4.0
300,120,5.0
52,127,4.5
137,274,5.0
378,29,5.0
113,295,5.0
199,182,5.0
89,91,3.5
163,413,5.0
184,468,4.5
361,359,4.0
291,289,3.0
97,429,5.0
253,278,4.0
252,20,2.5
120,309,3.5
270,245,1.0
315,104,5.0
175,368,3.0
166,31,1.5
301,361,5.0
397,57,5.0
187,492,2.5
361,483,4.5
301,52,4.0
166,70,5.0
375,486,4.0
328,492,4.5
163,90,5.0
288,356,5.0
315,403,4.0
341,302,5.0
194,158,5.0
151,66,3.0
1,486,5.0
294,201,5.0
395,495,4.5
94,309,4.0
314,114,4.5
54,480,4.5
170,382,2.5
178,164,3.0
46,421,5.0
328,374,5.0
229,6,3.5
128,355,2.5
132,403,3.0
1,25,4.0
376,215,5.0
212,253,5.0
180,280,4.0
246,404,5.0
334,389,5.0
84,232,2.5
18,151,1.5
134,488,3.0
176,88,5.0
83,375,2.5
48,174,4.5
315,458,4.0
16,221,5.0
85,311,5.0
81,28,3.0
106,499,3.0
357,284,5.0
374,277,3.5
145,153,3.5
26,202,4.5
252,79,2.0
2,219,2.5
339,321,4.5
103,50,1.5
88,327,4.0
42,243,5.0
158,402,4.0
251,459,4.5
47,329,4.5
95,190,5.0
190,96,4.0
135,226,4.0
116,429,3.5
32,78,5.0
342,50,2.5
177,414,4.5
388,302,3.5
32,431,4.0
268,215,5.0
352,444,5.0
294,452,3.5
154,41,4.0
366,18,4.5
265,410,4.5
318,76,3.0
388,230,3.0
86,498,3.5
99,65,2.0
41,350,4.0
322,76,5.0
133,164,5.0
35,45,4.0
204,283,4.0
142,267,4.0
7,403,5.0
301,268,5.0
58,213,3.0
291,302,4.5
52,474,3.0
400,52,5.0
275,451,4.0
211,136,4.0
249,293,4.5
20,89,3.5
74,317,4.5
356,206,2.0
170,354,3.5
382,244,5.0
191,11,4.0
156,160,3.5
252,440,5.0
51,498,5.0
69,154,5.0
227,397,5.0
138,374,4.0
331,46,3.0
109,468,5.0
380,249,5.0
192,421,2.0
82,34,4.0
260,207,3.0
269,451,4.5
89,99,5.0
103,429,2.0
17,234,2.0
185,361,3.5
189,422,4.0
204,326,5.0
349,16,3.5
251,305,4.0
243,301,4.5
177,84,5.0
133,384,5.0
47,146,1.5
26,84,5.0
400,495,3.5
114,332,3.5
106,138,4.5
263,11,5.0
393,350,1.0
68,332,3.0
5,115,3.5
157,365,5.0
330,141,4.0
193,437,4.0
130,112,4.0
347,267,5.0
204,300,3.0
262,340,5.0
192,288,4.5
312,145,4.0
56,247,2.0
142,328,4.0
142,134,4.5
334,153,3.0
265,392,3.5
30,413,5.0
308,207,4.5
349,72,5.0
336,255,5.0
133,465,4.0
199,378,2.0
363,293,5.0
176,372,5.0
352,274,4.5
244,465,5.0
184,260,4.0
88,431,4.5
286,93,4.0
242,66,5.0
372,414,4.5
94,485,5.0
172,336,2.5
182,115,5.0
158,216,5.0
